expt,smiles
-11.01,CN(C)C(=O)c1ccc(cc1)OC
-4.87,CS(=O)(=O)Cl
1.83,CC(C)C=C
-5.45,CCc1cnccn1
-4.21,CCCCCCCO
-6.27,Cc1cc(cc(c1)O)C
2.34,CC(C)C(C)C
-3.92,CCCC(C)(C)O
1.58,C[C@@H]1CCCC[C@@H]1C
-4.62,CC[C@H](C)O
-1.96,C(Br)Br
-3.88,CC[C@H](C(C)C)O
-4.33,CCc1ccccn1
-2.49,CCCCC(=O)OCC
-2.55,c1ccc(cc1)S
-4.78,CC(=CCC/C(=C\CO)/C)C
-1.46,c1ccc2c(c1)CCC2
-2.22,CCOc1ccccc1
-5.85,c1cc(ccc1O)Br
2.88,CCCC(C)(C)C
-6.34,CC(=O)OCCOC(=O)C
-6.1,CCOP(=S)(OCC)SCSP(=S)(OCC)OCC
-5.48,C1CCCC(CC1)O
-4.1,COC(=O)C1CC1
-4.1,c1ccc(cc1)C#N
-3.52,CCCCC#N
-4.47,CC(C)(C)O
-2.74,CC(C)C(=O)C(C)C
-3.43,CCC=O
-7.81,CN(C)C=O
-0.8,Cc1ccc(cc1)C
0.93,C=CCC=C
-6.78,Cc1cccc(c1C)Nc2ccccc2C(=O)O
-9.29,CN(C)C(=O)c1ccccc1
-4.07,CCNCC
-5.91,CC(C)(C)c1ccc(cc1)O
-2.13,CC(C)CCOC=O
-3.64,CCCCCCCCCCO
-2.68,CCC(=O)OCC
3.13,CCCCCCCCC
-10,CC(=O)NC
2.06,CCCCCCCC=C
-8.11,c1ccc2cc(ccc2c1)O
-1.12,c1cc(c(cc1Cl)Cl)Cl
-23.62,C([C@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O)O
-2.83,CCCC(=O)OC
-4.68,c1ccc(c(c1)C=O)O
-5.56,C1CNC1
-3.65,CCCNCCC
-5.49,c1ccc(cc1)N
3.12,C(F)(F)(F)F
-4.42,CC[C@@H](C)CO
-6.2,c1ccc(c(c1)O)I
-6.96,COc1cccc(c1O)OC
-0.16,CCC#C
-0.25,c1ccc(cc1)C(F)(F)F
-9.3,NN
-4.63,Cc1ccccn1
-10.22,CCNc1nc(nc(n1)Cl)NCC
-3.56,c1ccc2c(c1)Oc3cc(c(cc3O2)Cl)Cl
-3.65,CCCCCCCCN
-4.29,N
1.07,c1ccc(c(c1)C(F)(F)F)C(F)(F)F
-9.51,COC(=O)c1ccc(cc1)O
-0.23,CCCCCc1ccccc1
-0.11,CC(F)F
-16.43,c1ccc(cc1)n2c(=O)c(c(cn2)N)Cl
0.56,C=CC=C
-3.2,CN(C)C
-9.31,CCCCCC(=O)N
-1.88,CC(C)CO[N+](=O)[O-]
-14.21,c1ccc2c(c1)C(=O)c3cccc(c3C2=O)NCCO
-8.18,C(CO[N+](=O)[O-])O
-2.88,CCCCCCC(=O)C
-7.77,CN1CCNCC1
-4.5,CCN
-0.99,C1C=CC=CC=C1
-3.78,c1ccc2c(c1)Cc3ccccc3C2
-0.84,CC(Cl)Cl
-7.66,COc1cccc(c1)O
-3.15,c1cc2cccc3c2c(c1)CC3
0.52,CCCCCCCCBr
-6.62,c1ccc(cc1)CO
-18.17,c1c(c(=O)[nH]c(=O)[nH]1)Br
2.1,CCCC
-0.55,CCl
-0.03,CC(C)CBr
-1.21,CC(C)SC(C)C
2.67,CCCCCCC
-9.63,c1cnc[nH]1
-3.84,c1cc2c(cc1Cl)Oc3cc(c(c(c3O2)Cl)Cl)Cl
-9.73,CC[C@H](C)n1c(=O)c(c([nH]c1=O)C)Br
-2.49,C(I)I
-4.13,CCCN(CCC)C(=O)SCCC
-4.02,C[N+](=O)[O-]
-2.1,CCOC
-4.59,COC(CCl)(OC)OC
2.3,CC(C)C
-6.09,CC(C)CC(=O)O
-7.07,CCOP(=O)(OCC)O/C(=C/Cl)/c1ccc(cc1Cl)Cl
-0.33,CCCCl
-1.28,CCCSCCC
-4.06,CCC[C@H](CC)O
-3.88,CC#N
-1.92,CN(CC(F)(F)F)c1ccccc1
0.1,[C@@H](C(F)(F)F)(OC(F)F)Cl
1.01,C=CCCC=C
-0.83,Cc1cccc(c1)C
-3.13,CC(=O)OC
-4.04,COC(c1ccccc1)(OC)OC
-3.64,CCOC(=O)c1ccccc1
-1.1,CCCS
-3.04,CCCCCC(=O)C
-9.61,CC1(Cc2cccc(c2O1)OC(=O)NC)C
-2.38,c1ccc(cc1)CBr
-2.23,CCCCCC(=O)OCC
-1.66,CCCOC
-6.32,CN1CCOCC1
-9.65,c1cc(cc(c1)O)C#N
-4.38,c1cc(c(cc1c2c(c(cc(c2Cl)Cl)Cl)Cl)Cl)Cl
-0.53,CCCc1ccccc1
-12.64,Cn1cnc2c1c(=O)n(c(=O)n2C)C
-4.29,CNC
2.93,C(=C(F)F)(C(F)(F)F)F
-7.03,c1cc(ccc1O)Cl
-5.11,C1CCNCC1
-3.88,c1ccc2c(c1)ccc3c2cccc3
-0.89,CI
-6.44,COc1c(cc(c(c1O)OC)Cl)Cl
-0.78,C(=C/Cl)\Cl
2.3,CCCCC
-3.64,CCCC#N
0.5,[C@@H](C(F)(F)F)(F)Br
-5.04,CC(C)Cc1cnccn1
-1.82,CC[C@H](C)O[N+](=O)[O-]
-2.46,c1ccc(cc1)c2cc(ccc2Cl)Cl
-3.48,c1ccc(cc1)c2cc(c(c(c2Cl)Cl)Cl)Cl
2.52,CC[C@@H](C)C(C)C
-3.73,C[C@H](CC(C)C)O
-3.12,C1CCOCC1
0.75,C1CC1
-3.17,c1c(cc(c(c1Cl)Cl)Cl)c2cc(c(c(c2Cl)Cl)Cl)Cl
0.25,C=C(Cl)Cl
-4.5,CC(C)CO
-2.44,CCCOC(=O)CC
-0.64,C(C(Cl)(Cl)Cl)(Cl)(Cl)Cl
-2.73,CSc1ccccc1
-5.66,CCc1ccccc1O
1.09,CC(C)(C)Cl
0.68,CC(=C)C=C
-0.68,Cc1ccc(cc1)C(C)C
-8.41,Cn1ccnc1
-9.3,C(CO)O
-1.36,c1ccc(c(c1)Cl)Cl
-15.83,c1c(=O)[nH]c(=O)[nH]c1Cl
-2.48,CCCOC=O
-3.1,c1ccc2c(c1)Oc3ccc(cc3O2)Cl
-6.21,CCCCCC(=O)O
-5.71,CCOC(=O)CCC(=O)OCC
-4.86,Cc1ccnc(c1)C
0.14,C1CCC=CC1
-7.58,CN1CCN(CC1)C
-3.04,c1cc(c(cc1c2cc(c(c(c2Cl)Cl)Cl)Cl)Cl)Cl
-6.5,C1=CC(=O)C=CC1=O
-4,COC(=O)CCl
-3.18,CCCC=O
-0.79,CCc1ccccc1
-0.44,C(=C(Cl)Cl)Cl
-3.22,CCN(CC)CC
-4.15,c1cc2c(cc1Cl)Oc3c(c(c(c(c3Cl)Cl)Cl)Cl)O2
-5.22,Cc1ccncc1C
-18.06,c1(=O)[nH]c(=O)[nH]c(=O)[nH]1
-4.02,c1ccc(cc1)C=O
-4.39,c1ccnc(c1)Cl
-0.57,C=CCCl
-4.7,Cc1ccc(cc1)C(=O)C
-2.75,C=O
-1.14,Cc1ccccc1Cl
-9.8,CC(=O)N1CCCC1
-4.42,CC(OC)(OC)OC
-0.4,CCCCc1ccccc1
-3.45,CN(C)c1ccccc1
-2.01,CC(C)OC
-4.53,c12c(c(c(c(c1Cl)Cl)Cl)Cl)Oc3c(c(c(c(c3Cl)Cl)Cl)Cl)O2
-2.98,c1(c(c(c(c(c1Cl)Cl)Cl)Cl)Cl)c2c(c(c(c(c2Cl)Cl)Cl)Cl)Cl
-1.99,C(C(Cl)Cl)Cl
-4.69,CNc1ccccc1
-2.64,CC(C)OC(=O)C
-0.9,c1ccccc1
-1.24,c1cc(c(c(c1)Cl)Cl)Cl
-6.5,CCOP(=S)(OCC)SCSc1ccc(cc1)Cl
-10.03,COP(=S)(OC)SCn1c(=O)c2ccccc2nn1
-4.05,c1ccc2c(c1)Oc3c(cc(c(c3O2)Cl)Cl)Cl
0.4,CC(=C)C(=C)C
1.58,CCCCC=C
-0.7,S
-1.59,CCOCC
-7.65,CCNc1nc(nc(n1)SC)NC(C)C
-8.72,CCCCOC(=O)c1ccc(cc1)O
-2.26,CCCCCCOC(=O)C
-4.7,C1CCC(=O)C1
-6.16,CCCCC(=O)O
-0.74,CCBr
-2.63,Cc1ccc2cc(ccc2c1)C
-4.4,CCCCCCO
-2.69,c1ccc(cc1)c2ccccc2Cl
0.67,CC1=CCCCC1
-1.66,CCCCCCO[N+](=O)[O-]
-2.13,C(Br)(Br)Br
-6.13,CCc1ccc(cc1)O
-6.4,CCCOCCO
-3.82,c1ccc(cc1)OC=O
-18.72,c1c(c(=O)[nH]c(=O)[nH]1)I
-6.35,CCCC(=O)O
-0.8,COC(C(F)(F)F)(OC)OC
-20.52,C1[C@H]([C@@H]([C@H]([C@H](O1)O)O)O)O
1.79,C(F)(F)(F)Br
-4.72,CCCCO
-0.8,c1ccc(cc1)F
-2.94,CCOC(=O)C
-1.69,CC(C)COC(=O)C(C)C
-2.21,CC(C)(C)OC
-2.55,C1=C[C@@H]([C@@H]2[C@H]1[C@@]3(C(=C([C@]2(C3(Cl)Cl)Cl)Cl)Cl)Cl)Cl
-3.41,CCC(=O)CC
-1.1,COC(=O)C(F)(F)F
-2.4,c1ccc2ccccc2c1
-4.4,c1cc(c(c(c1c2cc(c(c(c2Cl)Cl)Cl)Cl)Cl)Cl)Cl
-9.94,CC(=O)Oc1ccccc1C(=O)O
-3.11,CC(=O)C(C)(C)C
-4.87,COS(=O)(=O)C
-4.73,CCc1ccncc1
-3.22,CC(C)NC(C)C
-3.67,c1cc2c(cc1Cl)Oc3ccc(cc3O2)Cl
-3.79,CCCCCCCN
1.59,CC1CCCC1
2,CCC
-3.3,C[C@H]1CCCO1
-9.45,CNC(=O)Oc1cccc2c1cccc2
-9.52,c1cc(cc(c1)O)C=O
-3.95,c1ccc2cc3ccccc3cc2c1
-1.31,C(Cl)Cl
-2.4,CC(C)(C)C(=O)OC
-1.45,C([N+](=O)[O-])(Cl)(Cl)Cl
-8.61,C1CC[S+2](C1)([O-])[O-]
-5.26,Cc1cccc(c1O)C
-5.49,Cc1cccc(c1)O
-9.53,c1ccc2c(c1)C(=O)c3c(ccc(c3C2=O)O)N
-11.85,c1ccc2c(c1)C(=O)c3c(ccc(c3C2=O)N)N
-2.49,CCCCCCCC(=O)C
-4.24,CCCCN
-2.49,CCCC(=O)OCC
-5.57,Cc1ccc(cc1)N
0.08,CCCCCCI
1.77,C(C(F)(Cl)Cl)(F)(F)Cl
-8.7,COP(=O)(OC)OC
-0.98,c1cc(cc(c1)Cl)Cl
-2.47,Cc1cc(c2ccccc2c1)C
2.51,CCCC(C)C
-5.04,CCOP(=S)(OCC)Oc1c(cc(c(n1)Cl)Cl)Cl
0.06,C(C(F)(F)F)Cl
1.28,C=C
-0.14,CCCCCI
-4.42,COC(OC)OC
3.16,CCCCCCCCCC
-4.95,C[C@@H](CO[N+](=O)[O-])O[N+](=O)[O-]
1.32,CC=C
-5.88,Cc1c[nH]c2c1cccc2
-12.74,COP(=O)([C@H](C(Cl)(Cl)Cl)O)OC
1.23,C1CCCCC1
-4.45,CC(=CCC/C(=C/CO)/C)C
-0.3,CC(C)c1ccccc1
2.56,CC(C)C(C)C(C)C
-3.24,CC(C)C(=O)C
-3.24,CCCCNCCCC
-0.99,CCCCS
-3.81,c1ccc2c(c1)Oc3c(c(c(c(c3Cl)Cl)Cl)Cl)O2
-8.68,COc1c(c(c(c(c1Cl)C=O)Cl)OC)O
-4.59,C1CCC(CC1)N
-0.5,C(F)(F)Cl
-6.88,COC(=O)c1ccc(cc1)[N+](=O)[O-]
-8.26,CC(=O)c1cccnc1
-0.48,CC#C
-2.07,CCCCCCCCC=O
-6.46,CCC(=O)O
-1.08,C(Cl)(Cl)Cl
-1.21,Cc1cccc(c1C)C
2,C
-1.93,c1ccc(cc1)CCl
1.7,CC1CCCCC1
-1.38,Cc1cccs1
-4.69,c1ccncc1
-0.16,CCCCCl
-2.92,C[C@H]1CC[C@@H](O1)C
-5.8,Cc1ccc(c(c1)OC)O
-3.44,C1[C@H]([C@@H]2[C@H]([C@H]1Cl)[C@]3(C(=C([C@@]2(C3(Cl)Cl)Cl)Cl)Cl)Cl)Cl
-0.9,Cc1ccccc1
-2.22,CC(C)COC=O
-9.2,CCOC(=O)c1ccc(cc1)O
-3.54,CCOCCOCC
-2.11,CCCCCOC(=O)CC
-5.21,CCCc1ccc(cc1)O
1.31,CC=C(C)C
-1.79,C(CCl)Cl
2.56,CCC(C)(C)CC
-2.78,Cc1cc2ccccc2cc1C
-4.59,Cc1cccc(n1)C
-1.12,COC(C(Cl)Cl)(F)F
-5.31,CCOCCOC(=O)C
-7.29,COc1cccc(c1)N
-7.1,c1cc(cnc1)C=O
-4.43,CCC(C)(C)O
-8.21,CCc1cccc(c1N(COC)C(=O)CCl)CC
-2.89,Cn1cccc1
-2.93,COCOC
-4.35,CCC(CC)O
-2.15,CCCCCCCCCC(=O)C
-1.95,C(CBr)Cl
-1.74,c1ccc(cc1)I
-5.18,CC1=CC(=O)CC(C1)(C)C
-0.74,CCI
-5.26,CCCc1ccc(c(c1)OC)O
-0.48,CC(C)Br
-1.39,Cc1ccc(cc1)Br
-10.17,c1cc(ccc1C#N)O
-10.08,CS(=O)(=O)C
-6.25,CCc1cccc(c1)O
-4.44,CC1=CC[C@H](C[C@@H]1O)C(=C)C
-2.3,c1cc(ccc1Br)Br
-9.86,COc1c(ccc(c1C(=O)O)Cl)Cl
1.31,CC/C=C\C
1.83,CC
-5.33,COc1ccccc1OC
-1.46,CCSCC
-6.75,c1cc(cnc1)C#N
-7.29,c1cc(c(cc1O)Cl)Cl
-2.45,COc1ccccc1
-5.91,Cc1ccc(c(c1)O)C
-1.01,c1cc(ccc1Cl)Cl
-0.77,C(F)Cl
1.68,CCCC=C
-1.34,c1cc(c(c(c1Cl)Cl)Cl)Cl
0.6,CCCCCC#C
-2.34,CCCCCCCCC(=O)C
-1.12,c1ccc(cc1)Cl
-9.34,CN(C)CCOC(c1ccccc1)c2ccccc2
-3.03,CCCCC=O
-2.87,c1ccc(cc1)Oc2ccccc2
-4.91,C1CCC(=O)CC1
-3.09,CCCC[N+](=O)[O-]
-7,c1cnccc1C=O
-4.23,C(CCl)OCCCl
-3.71,CC[N+](=O)[O-]
-4.01,c1cc(cnc1)Cl
-0.82,CBr
-5.1,CO
-2.67,CCCCCCC=O
-2.28,c1cc(c(c(c1)Cl)c2c(cccc2Cl)Cl)Cl
-7.37,c1ccc(c(c1)N)[N+](=O)[O-]
-3.88,CN1CCCCC1
-2.29,CCCCCCCC=O
-4.12,c1ccc(cc1)[N+](=O)[O-]
-2.53,C[C@@H]1CC[C@H](C(=O)C1)C(C)C
-25.47,C([C@@H]1[C@H]([C@@H]([C@H]([C@@H](O1)O)O)O)O)O
-0.22,CF
-9.28,CS(=O)C
-3.15,c1ccc2c(c1)Oc3ccccc3O2
-5.53,Cc1ccccc1N
-0.4,CCCCBr
-3.88,CCCCCCCCCO
-4.93,Cc1ccncc1
0.1,C(=C(Cl)Cl)(Cl)Cl
0.84,CC(C)(C)Br
-2.78,C=C(c1ccccc1)c2ccccc2
-0.95,CCc1ccc(cc1)C
-4.77,Cc1cccnc1
-5.73,COCC(OC)(OC)OC
-3.35,c1ccc-2c(c1)Cc3c2cccc3
-9.71,CC(=O)N
-5.1,COS(=O)(=O)OC
-2.37,C(C(Cl)Cl)(Cl)Cl
-3.3,COC(=O)C1CCCCC1
0.18,CCCCCCBr
0.34,CCCCCCCBr
-3.52,c1ccc2c(c1)Oc3cccc(c3O2)Cl
-6.4,COC(CC#N)(OC)OC
0,CC[C@H](C)Cl
-0.04,CCCCCCc1ccccc1
-7.78,COc1cc(c(c(c1O)OC)Cl)C=O
1.07,c1cc(cc(c1)C(F)(F)F)C(F)(F)F
-7.63,c1ccc(cc1)Cn2ccnc2
-7.28,c1ccc2c(c1)cccc2N
-6,CCOC(=O)CC(=O)OCC
-4.61,CC(=O)C1CC1
-4.78,c1cc[nH]c1
-9.4,c1cc(c(cc1c2ccc(cc2F)F)C(=O)O)O
2.11,CC1CCC(CC1)C
-5.46,C1CCC(CC1)O
-7.43,CN(C)CCC=C1c2ccccc2CCc3c1cccc3
-6.19,c1cc(ccc1O)F
-4.91,c1ccc(c(c1)N)Cl
-0.86,Cc1ccc(c(c1)C)C
-0.85,CCc1ccccc1C
-3.75,C[C@@H]1CC[C@H](CC1=O)C(=C)C
-2.7,c1ccc(cc1)c2ccccc2
-6.16,Cc1cccc(c1C)O
-7.19,COP(=S)(OC)Oc1ccc(cc1)[N+](=O)[O-]
-6.74,CCOP(=S)(OCC)Oc1ccc(cc1)[N+](=O)[O-]
-5.66,CCN(CC)c1c(cc(c(c1[N+](=O)[O-])N)C(F)(F)F)[N+](=O)[O-]
-1.61,CSC
-10.78,C[C@@H](c1cccc(c1)C(=O)c2ccccc2)C(=O)O
-5.49,C1CCC(C1)O
-2.56,CCCCC(=O)OC
1.47,CCCC(=C)C
-8.42,C[C@@H](c1ccc(c(c1)F)c2ccccc2)C(=O)O
-7.98,CCCN(CCC)c1c(cc(cc1[N+](=O)[O-])S(=O)(=O)C)[N+](=O)[O-]
-0.59,C=CCl
-9.76,Cc1ccc(cc1)C(=O)N(C)C
-2.92,CCCC(=O)CCC
-3.92,COC(=O)c1ccccc1
-4.27,Cc1ccc(cc1)C=O
-2.28,CCCC(=O)OCCC
-7.4,C1CNCCN1
-5.74,CCOP(=S)(OCC)S[C@@H](CCl)N1C(=O)c2ccccc2C1=O
-6.69,CCOCCO
2.51,CCC(C)CC
-5.51,Cc1cnccn1
-3.34,CCC[N+](=O)[O-]
-0.9,Cc1cc(cc(c1)C)C
-16.92,c1c(c(=O)[nH]c(=O)[nH]1)F
-5,CCO
-2.82,Cc1ccc(c2c1cccc2)C
-3.37,c1c2c(cc(c1Cl)Cl)Oc3cc(c(cc3O2)Cl)Cl
-4.71,c1cc(c(c(c1)Cl)C#N)Cl
-2.56,CCOC=O
-1.34,c1c(c(cc(c1Cl)Cl)Cl)Cl
-5.23,CCOC(OCC)Oc1ccccc1
-9.62,c1cc(cc(c1)O)[N+](=O)[O-]
-4.09,CCCCCCCCO
1.38,CCC=C
0.08,C(Cl)(Cl)(Cl)Cl
-6.79,c1ccc(cc1)CCO
-9.13,CN(C)C(=O)Nc1ccccc1
-1.83,CSSC
-9.01,C1C=CC[C@@H]2[C@@H]1C(=O)N(C2=O)SC(Cl)(Cl)Cl
-8.84,CC(=O)OCC(COC(=O)C)OC(=O)C
-1.91,COC
2.48,CCCCCC
-2.33,C(CBr)Br
-1.23,C(C(Cl)(Cl)Cl)(Cl)Cl
-15.46,c1c(c(=O)[nH]c(=O)[nH]1)C(F)(F)F
-5.21,Cc1cccc(c1N)C
-2.79,CCCOC(=O)C
-5.72,c1ccc2c(c1)cccn2
-1.14,CCS
-1.64,CCSSCC
-1.4,c1ccsc1
-2.4,CCc1cccc2c1cccc2
-3.52,CCCC(=O)C
-4.61,c1c(c(c(c(c1Cl)Cl)Cl)Cl)c2c(cc(c(c2Cl)Cl)Cl)Cl
-2.45,CCC[N@@](CC1CC1)c2c(cc(cc2[N+](=O)[O-])C(F)(F)F)[N+](=O)[O-]
-6.69,CC(=O)O
-3.5,CC=O
-8.84,c1cc(cc(c1)[N+](=O)[O-])N
0.29,CCCCC#C
-6.12,COc1ccccc1N
-6.6,c1ccc(cc1)O
-3.84,CCC#N
-7.67,c1ccc2c(c1)cccc2O
-2.64,CCCCOC(=O)C
-9.84,CC(C)(/C=N\OC(=O)NC)SC
-5.9,Cc1ccccc1O
-2.86,CC(C)C=O
-9.4,CCC(=O)N
-0.56,CCCBr
-0.25,CC(C)Cl
-1.89,C(CCl)CCl
-10.64,c1cc(ccc1[N+](=O)[O-])O
-1.27,C[C@@H](CCl)Cl
-5.9,c1cc(ccc1N)Cl
-9.44,c1ccc2c(c1)C(=O)c3cccc(c3C2=O)N
-4.82,Cc1cccnc1C
-6.02,c1cnccc1C#N
-4.37,CCOP(=S)(OCC)SCSCC
-3.9,CC(=O)C1CCCCC1
-3.93,Cc1ccccc1C=O
-7.62,CC(=O)c1ccncc1
-3.71,c1c2c(cc(c1Cl)Cl)Oc3c(c(c(c(c3Cl)Cl)Cl)Cl)O2
-3.8,CC(=O)C
1.16,CC(=C)C
-3.61,c1cc(c(cc1Cl)c2cc(c(c(c2)Cl)Cl)Cl)Cl
-2.82,CCCCC[N+](=O)[O-]
-3.68,CCC/C=C/C=O
-11.95,CN(C)C(=O)c1ccc(cc1)[N+](=O)[O-]
-3.47,C1CCOC1
2.88,CCCCCCCC
-3.25,CCCN(CCC)c1c(cc(cc1[N+](=O)[O-])C(F)(F)F)[N+](=O)[O-]
-2.49,CC(=CCC[C@](C)(C=C)OC(=O)C)C
-4.29,C[C@@H](CCO[N+](=O)[O-])O[N+](=O)[O-]
-0.53,CC(C)OC(C)C
2.93,CCCCC(C)C
-5.22,c1(c(c(c(c(c1Cl)Cl)Cl)Cl)Cl)N(=O)=O
-0.11,[C@@H](C(F)(F)F)(Cl)Br
-0.83,CCCCOCCCC
2.55,CCCCCC1CCCC1
2.83,CC(C)CC(C)C
-4.72,Cc1ccc(nc1)C
-4.22,C/C=C/C=O
2.71,CCC[C@H](C)CC
-1.96,c1cc(c(c(c1)Cl)c2c(cc(cc2Cl)Cl)Cl)Cl
-1.29,c1ccc(cc1)O[C@@H](C(F)F)F
-4.84,COCCOC
-0.45,CC[C@H](C)c1ccccc1
-6.92,c1ccc(cc1)CCCO
-6.23,CC[C@@H](C)c1cc(cc(c1O)[N+](=O)[O-])[N+](=O)[O-]
-5.33,COc1ccc(cc1)C(=O)OC
-7.78,CCC(=O)Nc1ccc(c(c1)Cl)Cl
-10.21,C[C@@H](c1ccc2cc(ccc2c1)OC)C(=O)O
3.43,C1(C(C(C1(F)F)(F)F)(F)F)(F)F
-2.21,CC(C)CCOC(=O)C
0,CCCCCCCl
-3.05,CC(C)CC(=O)C
-2.81,CCCCCC=O
-5.82,c1cc(cc(c1)Cl)N
-7.17,C1COCCN1
-3.28,CCOC(C)OCC
-3.51,CCCC[N@](CC)c1c(cc(cc1[N+](=O)[O-])C(F)(F)F)[N+](=O)[O-]
-1.2,CS
-4.23,C1[C@@H]2[C@H](COS(=O)O1)[C@@]3(C(=C([C@]2(C3(Cl)Cl)Cl)Cl)Cl)Cl
-4.4,CC(=O)c1ccc(cc1)OC
-5.03,C=CCO
-1.5,CCSC
-2.51,CCCCCOC(=O)C
-1.62,c1c(cc(c(c1Cl)Cl)Cl)Cl
-4.58,CC(=O)c1ccccc1
-0.63,CCCl
2.13,CCCC1CCCC1
-0.78,c1c(cc(cc1Cl)Cl)Cl
-9.37,CCCOC(=O)c1ccc(cc1)O
-6.62,c1cc(cc(c1)Cl)O
-4.42,CC(C)CCO
-4.09,CCCCCN
-11.14,Cc1c(c(=O)n(c(=O)[nH]1)C(C)(C)C)Cl
2.93,CC(C)CCC(C)(C)C
-6.25,CCCCOCCO
-4.82,C1[C@@H]2[C@H]3[C@@H]([C@H]1[C@H]4[C@@H]2O4)[C@@]5(C(=C([C@]3(C5(Cl)Cl)Cl)Cl)Cl)Cl
-11,c1ccc(cc1)C(=O)N
-3.13,CC(C)[N+](=O)[O-]
-13.43,C(C(CO)O)O
-0.53,CCCI
-6.55,COCCN
-1.43,C(C(Cl)(Cl)Cl)Cl
-2.93,CCC(=O)OC
1.2,C1CCCC1
-4.59,CCc1cccnc1
-4.84,Cc1cc(cnc1)C
-6.62,COCCO
-2.78,COC=O
-7.47,c1ccc2cc(ccc2c1)N
-10.27,Cc1c[nH]cn1
-3.45,Cc1cccc(c1)[N+](=O)[O-]
-2.32,C(CCCl)CCl
-5.99,CC(=O)CO[N+](=O)[O-]
-0.44,CC(C)(C)c1ccccc1
-2.49,CCCCCC(=O)OC
-4.16,C[C@@H](C(F)(F)F)O
-0.1,CCCCCBr
1.92,CCCCCCC=C
-4.51,CC1=CC(=O)[C@@H](CC1)C(C)C
-4.74,CC(C)O
-3.95,CCCCCCN
-4.8,C(CO[N+](=O)[O-])CO[N+](=O)[O-]
-6.01,Cc1ccc(c(c1)C)O
-4.57,CCCCCO
-4.39,CCC[C@@H](C)O
2.97,CCCC[C@@H](C)CC
-7,C[C@@H](c1ccc(cc1)CC(C)C)C(=O)O
-8.15,CCOC(=O)C[C@H](C(=O)OCC)SP(=S)(OC)OC
-6.5,Cc1ccc(cc1C)O
-6.79,Cc1cc(ccc1Cl)O
1.68,CCCC/C=C/C
-1.16,CCCOCCC
-3.2,C[C@@H]1CC[C@H]([C@@H](C1)O)C(C)C
-6.68,CCNc1nc(nc(n1)SC)NC(C)(C)C
2.89,CC(C)CC(C)(C)C
-2.64,CCCCC(=O)CCCC
-3.64,CCCCN(CC)C(=O)SCCC
1.66,CCCCCC=C
-2.02,CC(C)OC=O
-4.97,CC(OC(=O)C)OC(=O)C
-17.74,c1c(c(=O)[nH]c(=O)[nH]1)Cl
-1.24,CC(=C)c1ccccc1
2.38,CCC(C)C
-2.09,CCCCO[N+](=O)[O-]
-1.46,c1ccc(cc1)Br
-0.19,CC(Cl)(Cl)Cl
-4.09,CC(=C)[C@H]1CCC(=CC1)C=O
-3.58,Cc1ccccc1[N+](=O)[O-]
0.27,CCCCCCCI
-4.52,c1cc2ccc3cccc4c3c2c(c1)cc4
-0.1,CCCCCCl
-2.36,CC(C)COC(=O)C
2.51,CCC(C)(C)C
-9.82,c1cc(ccc1N)N(=O)=O
-6.72,COC(=O)CC#N
-7.48,COc1ccc(cc1)N
0.16,CC(C)Cc1ccccc1
-2.16,c1ccc(cc1)c2c(cc(cc2Cl)Cl)Cl
-4.55,CN
-4.55,c1ccc(c(c1)O)Cl
-11.53,c1ccc2c(c1)C(=O)c3ccc(cc3C2=O)N
-1.17,C(=C\Cl)\Cl
-3.28,CCCCC(=O)C
-5.73,C(CO[N+](=O)[O-])O[N+](=O)[O-]
-5.29,c1ccc(c(c1)O)F
-9.41,Cc1c(nc(nc1OC(=O)N(C)C)N(C)C)C
-1.24,C=Cc1ccccc1
-7.5,CCOP(=O)(OCC)OCC
-4.31,C(C(F)(F)F)O
-5.73,CCCCOC[C@H](C)O
-4.85,CCCO
-0.9,Cc1ccccc1C
2.51,CC(C)(C)C
0.01,CCCC#C
-9.61,c1ccc2c(c1)C(=O)NC2=O
-0.25,CCCCI
-6.13,Cc1ccc(cc1)O
-0.46,CC(C)I
-5.94,COc1ccccc1O
0.56,C1CC=CC1
-4.2,C[C@H](C(F)(F)F)O
-4.39,CCCN
-4.58,c1ccc(c(c1)[N+](=O)[O-])O
-2.44,Cc1cccc2c1cccc2
-2.33,c1(c(c(c(c(c1Cl)Cl)Cl)Cl)Cl)Cl
-3.43,CCCCC/C=C/C=O
0.71,CCCCCCC#C
-6.48,CCOP(=S)(OCC)Oc1cc(nc(n1)C(C)C)C
-2.04,CCCCCCCC(=O)OC
-5.48,C1CCNC1
-8.83,c1cc(ccc1C=O)O
0.29,CCCCCCCCl
-5.06,C1COCCO1
